rank,code,name,data_date,close,pct_change,score,rating,daily_trend,weekly_trend,trend_60m,data_confidence,conclusion
1,002436,兴森科技,2026-09-23,45.9,3.775717838571113,69.7,C,强势多头,多头,强势多头,high,强势多头/多头，60分钟强势多头；股票结构较强，目前优先等待回踩或突破确认。
2,603228,景旺电子,2026-09-23,107.45,1.253298153034299,66.8,C,多头,强势多头,偏多震荡,high,多头/强势多头，60分钟偏多震荡；股票结构较强，目前优先等待回踩或突破确认。
3,002463,沪电股份,2026-09-23,128.1,2.365350807096056,65.1,C,多头,多头,多头,high,多头/多头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
4,603920,世运电路,2026-09-23,45.96,-0.4117009750812528,64.1,C,强势多头,震荡,多头,high,强势多头/震荡，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
5,002916,深南电路,2026-09-23,414.77,3.6924999999999875,63.7,C,多头,多头,强势多头,high,多头/多头，60分钟强势多头；股票结构较强，目前优先等待回踩或突破确认。
6,002185,华天科技,2026-09-23,18.37,0.4923413566739532,63.0,C,强势多头,偏多震荡,多头,high,强势多头/偏多震荡，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
7,002281,光迅科技,2026-09-23,190.0,-0.19435835478279762,61.5,C,多头,多头,多头,high,多头/多头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
8,002335,科华数据,2026-09-23,32.63,7.832121612690024,59.6,D,多头,空头,强势多头,high,多头/空头，60分钟强势多头；已达到放量突破条件，但不适合无条件追涨。
9,600487,亨通光电,2026-09-23,69.94,-4.191780821917812,58.9,D,多头,多头,偏空震荡,high,多头/多头，60分钟偏空震荡；股票结构较强，目前优先等待回踩或突破确认。
10,002050,三花智控,2026-09-23,35.99,-0.5801104972375737,58.0,D,震荡,空头,多头,high,震荡/空头，60分钟多头；已进入条件化回踩观察区，仍需次日量价确认。
11,002156,通富微电,2026-09-23,62.8,-1.1335012594458571,57.3,D,多头,偏空震荡,多头,high,多头/偏空震荡，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
12,688396,华润微,2026-09-23,61.21,-0.41,57.0,D,多头,偏空震荡,多头,high,多头/偏空震荡，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
13,603986,兆易创新,2026-09-23,398.72,-0.8405869186769444,56.3,D,震荡,偏空震荡,强势多头,high,震荡/偏空震荡，60分钟强势多头；目前只适合观察，等待结构改善。
14,601138,工业富联,2026-09-23,62.98,-0.5055292259083743,55.5,D,偏空震荡,偏空震荡,偏多震荡,high,偏空震荡/偏空震荡，60分钟偏多震荡；已进入条件化回踩观察区，仍需次日量价确认。
15,000988,华工科技,2026-09-23,106.06,-0.9618078251937612,55.3,D,多头,偏空震荡,偏空震荡,high,多头/偏空震荡，60分钟偏空震荡；已进入条件化回踩观察区，仍需次日量价确认。
16,600183,生益科技,2026-09-23,143.56,0.0766817706518097,55.1,D,偏空震荡,多头,空头,high,偏空震荡/多头，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
17,600584,长电科技,2026-09-23,71.82,-0.5813953488372103,54.9,D,震荡,偏空震荡,多头,high,震荡/偏空震荡，60分钟多头；已进入条件化回踩观察区，仍需次日量价确认。
18,300442,润泽科技,2026-09-23,66.74,0.0149857635246331,54.9,D,多头,空头,强势多头,high,多头/空头，60分钟强势多头；股票结构较强，目前优先等待回踩或突破确认。
19,601689,拓普集团,2026-09-23,45.89,0.3937869175235198,54.6,D,震荡,强势空头,多头,high,震荡/强势空头，60分钟多头；已进入条件化回踩观察区，仍需次日量价确认。
20,600036,招商银行,2026-09-23,40.6,-0.5389514943655027,53.8,D,偏空震荡,强势多头,空头,high,偏空震荡/强势多头，60分钟空头；目前只适合观察，等待结构改善。
21,002648,卫星化学,2026-09-23,26.82,-0.5192878338278972,53.7,D,偏空震荡,强势多头,空头,high,偏空震荡/强势多头，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
22,300054,鼎龙股份,2026-09-23,71.13,0.08442380751372269,53.3,D,震荡,偏空震荡,偏空震荡,high,震荡/偏空震荡，60分钟偏空震荡；已进入条件化回踩观察区，仍需次日量价确认。
23,002475,立讯精密,2026-09-23,54.37,-0.8570386579139444,51.4,D,空头,空头,多头,high,空头/空头，60分钟多头；已进入条件化回踩观察区，仍需次日量价确认。
24,601318,中国平安,2026-09-23,53.87,-1.0833639368343806,51.4,D,偏空震荡,偏多震荡,偏多震荡,high,偏空震荡/偏多震荡，60分钟偏多震荡；已进入条件化回踩观察区，仍需次日量价确认。
