rank,code,name,data_date,close,pct_change,score,rating,daily_trend,weekly_trend,trend_60m,data_confidence,conclusion
1,000333,美的集团,2026-08-25,86.69,0.81,66.9,C,多头,强势多头,多头,medium,多头/强势多头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
2,600941,中国移动,2026-08-25,98.86,1.36,63.2,C,多头,强势多头,多头,medium,多头/强势多头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
3,600900,长江电力,2026-08-25,28.21,0.21,62.2,C,多头,多头,多头,medium,多头/多头，60分钟多头；已进入条件化回踩观察区，仍需次日量价确认。
4,600036,招商银行,2026-08-25,39.5,-0.2,62.1,C,多头,多头,多头,medium,多头/多头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
5,002648,卫星化学,2026-08-25,26.56,-0.04,59.6,D,多头,多头,偏空震荡,medium,多头/多头，60分钟偏空震荡；股票结构较强，目前优先等待回踩或突破确认。
6,603228,景旺电子,2026-08-25,91.03,-0.67,59.3,D,多头,强势多头,空头,medium,多头/强势多头，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
7,600487,亨通光电,2026-08-25,64.6,6.9,58.4,D,偏多震荡,偏空震荡,强势多头,medium,偏多震荡/偏空震荡，60分钟强势多头；目前只适合观察，等待结构改善。
8,601899,紫金矿业,2026-08-25,33.68,-2.49,58.2,D,多头,多头,偏空震荡,medium,多头/多头，60分钟偏空震荡；股票结构较强，目前优先等待回踩或突破确认。
9,600690,海尔智家,2026-08-25,21.23,1.38,58.2,D,多头,震荡,空头,medium,多头/震荡，60分钟空头；股票结构较强，目前优先等待回踩或突破确认。
10,600312,平高电气,2026-08-25,20.06,-0.59,58.1,D,多头,震荡,多头,medium,多头/震荡，60分钟多头；已进入条件化回踩观察区，仍需次日量价确认。
11,601318,中国平安,2026-08-25,55.01,0.16,57.4,D,多头,震荡,强势多头,medium,多头/震荡，60分钟强势多头；股票结构较强，目前优先等待回踩或突破确认。
12,600938,中国海油,2026-08-25,33.51,-0.62,56.9,D,强势多头,震荡,偏空震荡,medium,强势多头/震荡，60分钟偏空震荡；股票结构较强，目前优先等待回踩或突破确认。
13,002415,海康威视,2026-08-25,34.75,1.76,54.5,D,偏空震荡,强势多头,震荡,medium,偏空震荡/强势多头，60分钟震荡；已进入条件化回踩观察区，仍需次日量价确认。
14,002594,比亚迪,2026-08-25,91.36,0.77,53.4,D,震荡,空头,多头,medium,震荡/空头，60分钟多头；目前只适合观察，等待结构改善。
15,002602,世纪华通,2026-08-25,14.06,1.96,52.1,D,偏多震荡,空头,多头,medium,偏多震荡/空头，60分钟多头；已进入条件化回踩观察区，仍需次日量价确认。
16,600031,三一重工,2026-08-25,18.95,1.83,50.6,D,偏空震荡,空头,震荡,medium,偏空震荡/空头，60分钟震荡；已进入条件化回踩观察区，仍需次日量价确认。
17,600066,宇通客车,2026-08-25,29.99,-1.22,48.6,D,偏空震荡,偏空震荡,偏多震荡,medium,偏空震荡/偏空震荡，60分钟偏多震荡；已进入条件化回踩观察区，仍需次日量价确认。
18,000988,华工科技,2026-08-25,105.27,1.86,47.9,D,空头,偏空震荡,震荡,high,空头/偏空震荡，60分钟震荡；已进入条件化回踩观察区，仍需次日量价确认。
19,300124,汇川技术,2026-08-25,61.39,5.3,47.7,D,空头,空头,震荡,medium,空头/空头，60分钟震荡；已进入条件化回踩观察区，仍需次日量价确认。
20,002371,北方华创,2026-08-25,700.4,-1.06,47.2,D,空头,多头,空头,medium,空头/多头，60分钟空头；目前只适合观察，等待结构改善。
21,603920,世运电路,2026-08-25,37.17,0.05,47.2,D,偏多震荡,强势空头,空头,medium,偏多震荡/强势空头，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
22,000977,浪潮信息,2026-08-25,74.11,1.22,46.7,D,空头,多头,空头,medium,空头/多头，60分钟空头；目前只适合观察，等待结构改善。
23,600183,生益科技,2026-08-25,129.0,2.14,45.9,D,空头,多头,空头,high,空头/多头，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
24,600030,中信证券,2026-08-25,27.15,-0.44,45.9,D,空头,偏多震荡,空头,medium,空头/偏多震荡，60分钟空头；目前只适合观察，等待结构改善。
25,600584,长电科技,2026-08-25,74.05,0.34,45.5,D,空头,多头,强势空头,high,空头/多头，60分钟强势空头；已进入条件化回踩观察区，仍需次日量价确认。
26,603986,兆易创新,2026-08-25,395.51,3.63,45.2,D,空头,偏空震荡,空头,medium,空头/偏空震荡，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
27,601138,工业富联,2026-08-25,60.15,-0.41,45.0,D,空头,偏空震荡,空头,high,空头/偏空震荡，60分钟空头；目前只适合观察，等待结构改善。
28,300054,鼎龙股份,2026-08-25,72.19,-1.94,45.0,D,空头,多头,空头,medium,空头/多头，60分钟空头；目前只适合观察，等待结构改善。
29,002916,深南电路,2026-08-25,341.0,-0.77,44.8,D,空头,偏空震荡,空头,high,空头/偏空震荡，60分钟空头；目前只适合观察，等待结构改善。
30,002475,立讯精密,2026-08-25,54.86,2.12,44.8,D,空头,空头,震荡,medium,空头/空头，60分钟震荡；目前只适合观察，等待结构改善。
31,000338,潍柴动力,2026-08-25,27.02,0.11,44.8,D,空头,偏空震荡,空头,medium,空头/偏空震荡，60分钟空头；目前只适合观察，等待结构改善。
32,688396,华润微,2026-08-25,58.64,-4.21,44.5,D,空头,偏空震荡,空头,medium,空头/偏空震荡，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
