rank,code,name,data_date,close,pct_change,score,rating,daily_trend,weekly_trend,trend_60m,data_confidence,conclusion
1,601899,紫金矿业,2026-08-24,34.54,-0.5757052389176787,68.3,C,多头,多头,强势多头,high,多头/多头，60分钟强势多头；股票结构较强，目前优先等待回踩或突破确认。
2,600941,中国移动,2026-08-24,97.53,1.3298701298701365,64.7,C,多头,强势多头,多头,high,多头/强势多头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
3,600938,中国海油,2026-08-24,33.72,-0.41346721795628705,63.6,C,强势多头,震荡,多头,high,强势多头/震荡，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
4,000333,美的集团,2026-08-24,85.99,2.004744958481619,63.1,C,多头,强势多头,多头,high,多头/强势多头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
5,601318,中国平安,2026-08-24,54.92,2.9428303655107735,62.4,C,多头,震荡,强势多头,high,多头/震荡，60分钟强势多头；股票结构较强，目前优先等待回踩或突破确认。
6,600036,招商银行,2026-08-24,39.58,1.7480719794344513,60.9,C,多头,多头,多头,high,多头/多头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
7,603993,洛阳钼业,2026-08-24,18.99,1.9871106337271627,59.7,D,偏空震荡,多头,偏多震荡,high,偏空震荡/多头，60分钟偏多震荡；已进入条件化回踩观察区，仍需次日量价确认。
8,600900,长江电力,2026-08-24,28.15,0.679542203147343,59.2,D,多头,多头,震荡,high,多头/多头，60分钟震荡；已进入条件化回踩观察区，仍需次日量价确认。
9,600312,平高电气,2026-08-24,20.18,2.2807906741003414,58.3,D,多头,震荡,多头,high,多头/震荡，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
10,002648,卫星化学,2026-08-24,26.57,-1.59259259259259,57.6,D,多头,多头,偏空震荡,high,多头/多头，60分钟偏空震荡；股票结构较强，目前优先等待回踩或突破确认。
11,603228,景旺电子,2026-08-24,91.64,-3.3741037536904273,57.5,D,多头,强势多头,空头,high,多头/强势多头，60分钟空头；股票结构较强，目前优先等待回踩或突破确认。
12,002594,比亚迪,2026-08-24,90.66,0.21001436940422114,51.8,D,偏空震荡,空头,多头,high,偏空震荡/空头，60分钟多头；已进入条件化回踩观察区，仍需次日量价确认。
13,300014,亿纬锂能,2026-08-24,55.82,0.05377307761247341,51.0,D,偏多震荡,空头,空头,high,偏多震荡/空头，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
14,688396,华润微,2026-08-24,61.22,-1.512226512226511,50.3,D,震荡,偏空震荡,偏空震荡,high,震荡/偏空震荡，60分钟偏空震荡；已进入条件化回踩观察区，仍需次日量价确认。
15,600066,宇通客车,2026-08-24,30.36,2.9501525940996975,50.0,D,偏空震荡,偏空震荡,多头,high,偏空震荡/偏空震荡，60分钟多头；已进入条件化回踩观察区，仍需次日量价确认。
16,600690,海尔智家,2026-08-24,20.94,0.3835091083413289,49.2,D,偏空震荡,震荡,强势空头,high,偏空震荡/震荡，60分钟强势空头；已进入条件化回踩观察区，仍需次日量价确认。
17,600549,厦门钨业,2026-08-24,53.93,-2.9686937747391173,48.7,D,空头,偏空震荡,空头,high,空头/偏空震荡，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
18,600030,中信证券,2026-08-24,27.27,0.5530973451327359,48.6,D,空头,多头,震荡,high,空头/多头，60分钟震荡；目前只适合观察，等待结构改善。
19,000977,浪潮信息,2026-08-24,73.22,-4.0995415848068095,48.5,D,空头,多头,空头,high,空头/多头，60分钟空头；目前只适合观察，等待结构改善。
20,600584,长电科技,2026-08-24,73.8,-6.07,48.3,D,偏空震荡,多头,强势空头,high,偏空震荡/多头，60分钟强势空头；已进入条件化回踩观察区，仍需次日量价确认。
21,603986,兆易创新,2026-08-24,381.66,-6.698283870336863,48.0,D,空头,偏空震荡,空头,high,空头/偏空震荡，60分钟空头；目前只适合观察，等待结构改善。
22,002371,北方华创,2026-08-24,707.9,-0.9140153688954822,47.7,D,空头,多头,空头,high,空头/多头，60分钟空头；目前只适合观察，等待结构改善。
23,600406,国电南瑞,2026-08-24,23.27,0.4315925766076756,47.6,D,偏空震荡,空头,空头,high,偏空震荡/空头，60分钟空头；目前只适合观察，等待结构改善。
