rank,code,name,data_date,close,pct_change,score,rating,daily_trend,weekly_trend,trend_60m,data_confidence,conclusion
1,603228,景旺电子,2026-09-14,108.21,-3.167785234899334,65.4,C,强势多头,强势多头,多头,high,强势多头/强势多头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
2,000333,美的集团,2026-09-14,86.8,0.6260143751449121,65.3,C,多头,强势多头,多头,high,多头/强势多头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
3,600036,招商银行,2026-09-14,41.83,1.1608222490931075,64.9,C,强势多头,强势多头,多头,high,强势多头/强势多头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
4,002916,深南电路,2026-09-14,389.13,-1.9,61.7,C,多头,多头,多头,high,多头/多头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
5,600900,长江电力,2026-09-14,28.63,0.6326889279437697,61.3,C,多头,多头,多头,high,多头/多头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
6,002463,沪电股份,2026-09-14,125.7,-1.99,60.6,C,多头,多头,偏空震荡,high,多头/多头，60分钟偏空震荡；股票结构较强，目前优先等待回踩或突破确认。
7,002436,兴森科技,2026-09-14,40.06,1.856089499110114,60.4,C,多头,多头,多头,high,多头/多头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
8,600183,生益科技,2026-09-14,146.0,-1.64,58.8,D,多头,多头,偏空震荡,high,多头/多头，60分钟偏空震荡；股票结构较强，目前优先等待回踩或突破确认。
9,603920,世运电路,2026-09-14,43.42,4.752714113389622,58.7,D,多头,空头,强势多头,high,多头/空头，60分钟强势多头；已达到放量突破条件，但不适合无条件追涨。
10,600031,三一重工,2026-09-14,19.92,0.707785642062686,57.7,D,多头,震荡,偏空震荡,high,多头/震荡，60分钟偏空震荡；股票结构较强，目前优先等待回踩或突破确认。
11,600938,中国海油,2026-09-14,33.91,0.0,57.1,D,多头,强势多头,偏空震荡,high,多头/强势多头，60分钟偏空震荡；已进入条件化回踩观察区，仍需次日量价确认。
12,600941,中国移动,2026-09-14,98.16,0.4502660663119107,56.0,D,偏空震荡,强势多头,震荡,high,偏空震荡/强势多头，60分钟震荡；已进入条件化回踩观察区，仍需次日量价确认。
13,601318,中国平安,2026-09-14,54.73,-0.18238190771475704,55.9,D,多头,偏多震荡,空头,high,多头/偏多震荡，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
14,002602,世纪华通,2026-09-14,15.06,-3.21,54.0,D,多头,震荡,偏空震荡,high,多头/震荡，60分钟偏空震荡；股票结构较强，目前优先等待回踩或突破确认。
15,002648,卫星化学,2026-09-14,26.91,-1.1388684790595072,53.7,D,偏空震荡,强势多头,空头,high,偏空震荡/强势多头，60分钟空头；目前只适合观察，等待结构改善。
16,600690,海尔智家,2026-09-14,21.12,0.5235602094240788,52.5,D,偏空震荡,震荡,空头,high,偏空震荡/震荡，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
17,002008,大族激光,2026-09-14,92.28,-0.6138933764135657,49.9,D,震荡,偏空震荡,空头,high,震荡/偏空震荡，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
