rank,code,name,data_date,close,pct_change,score,rating,daily_trend,weekly_trend,trend_60m,data_confidence,conclusion
1,603228,景旺电子,2026-08-21,94.84,6.3,64.1,C,强势多头,强势多头,震荡,medium,强势多头/强势多头，60分钟震荡；股票结构较强，目前优先等待回踩或突破确认。
2,002916,深南电路,2026-08-21,358.25,3.84,57.6,D,偏多震荡,多头,空头,medium,偏多震荡/多头，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
3,002463,沪电股份,2026-08-21,121.21,6.03,56.1,D,震荡,多头,震荡,medium,震荡/多头，60分钟震荡；已进入条件化回踩观察区，仍需次日量价确认。
4,600584,长电科技,2026-08-21,78.57,-1.14,55.4,D,偏多震荡,多头,空头,medium,偏多震荡/多头，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
5,600183,生益科技,2026-08-21,132.8,5.16,54.6,D,偏多震荡,多头,偏空震荡,medium,偏多震荡/多头，60分钟偏空震荡；已进入条件化回踩观察区，仍需次日量价确认。
6,603920,世运电路,2026-08-21,38.86,1.91,53.4,D,偏多震荡,强势空头,多头,medium,偏多震荡/强势空头，60分钟多头；目前只适合观察，等待结构改善。
7,002436,兴森科技,2026-08-21,35.35,4.55,52.0,D,偏多震荡,偏空震荡,偏空震荡,medium,偏多震荡/偏空震荡，60分钟偏空震荡；已进入条件化回踩观察区，仍需次日量价确认。
8,601138,工业富联,2026-08-21,62.84,1.14,51.7,D,偏多震荡,偏空震荡,空头,medium,偏多震荡/偏空震荡，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
9,002602,世纪华通,2026-08-21,13.82,-0.14,47.2,D,偏多震荡,空头,空头,medium,偏多震荡/空头，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
10,603986,兆易创新,2026-08-21,409.06,1.38,46.9,D,空头,偏空震荡,空头,medium,空头/偏空震荡，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
11,002938,鹏鼎控股,2026-08-21,89.2,1.86,46.5,D,空头,多头,空头,medium,空头/多头，60分钟空头；目前只适合观察，等待结构改善。
12,002371,北方华创,2026-08-21,714.43,0.26,45.9,D,空头,多头,空头,medium,空头/多头，60分钟空头；目前只适合观察，等待结构改善。
13,002281,光迅科技,2026-08-21,178.58,3.14,45.3,D,空头,多头,空头,medium,空头/多头，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
14,002484,江海股份,2026-08-21,64.33,7.27,44.6,D,空头,偏空震荡,震荡,medium,空头/偏空震荡，60分钟震荡；已进入条件化回踩观察区，仍需次日量价确认。
15,600111,北方稀土,2026-08-21,40.17,0.98,44.2,D,空头,强势空头,空头,medium,空头/强势空头，60分钟空头；目前只适合观察，等待结构改善。
16,000988,华工科技,2026-08-21,106.78,2.5,44.0,D,空头,偏空震荡,偏空震荡,medium,空头/偏空震荡，60分钟偏空震荡；已进入条件化回踩观察区，仍需次日量价确认。
17,002179,中航光电,2026-08-21,34.42,0.67,43.8,D,空头,空头,空头,medium,空头/空头，60分钟空头；目前只适合观察，等待结构改善。
