rank,code,name,data_date,close,pct_change,score,rating,daily_trend,weekly_trend,trend_60m,data_confidence,conclusion
1,002436,兴森科技,2026-09-18,42.88,4.077669902912628,65.7,C,强势多头,多头,多头,high,强势多头/多头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
2,603228,景旺电子,2026-09-18,104.45,0.18223671590253954,63.7,C,多头,强势多头,偏空震荡,high,多头/强势多头，60分钟偏空震荡；股票结构较强，目前优先等待回踩或突破确认。
3,002008,大族激光,2026-09-18,99.6,5.052209682522935,63.1,C,多头,偏空震荡,强势多头,high,多头/偏空震荡，60分钟强势多头；股票结构较强，目前优先等待回踩或突破确认。
4,002916,深南电路,2026-09-18,384.5,0.2137197664720647,61.4,C,多头,多头,偏空震荡,high,多头/多头，60分钟偏空震荡；股票结构较强，目前优先等待回踩或突破确认。
5,600487,亨通光电,2026-09-18,69.49,1.4600671630895068,61.3,C,多头,偏空震荡,强势多头,high,多头/偏空震荡，60分钟强势多头；股票结构较强，目前优先等待回踩或突破确认。
6,002185,华天科技,2026-09-18,18.03,10.006101281269064,61.0,C,震荡,偏多震荡,强势多头,high,震荡/偏多震荡，60分钟强势多头；已达到放量突破条件，但不适合无条件追涨。
7,002281,光迅科技,2026-09-18,195.4,2.1859638113168156,60.4,C,多头,多头,强势多头,high,多头/多头，60分钟强势多头；股票结构较强，目前优先等待回踩或突破确认。
8,603920,世运电路,2026-09-18,43.6,0.2990568207959621,60.1,C,强势多头,空头,多头,high,强势多头/空头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
9,002463,沪电股份,2026-09-18,123.5,0.01619695497245832,59.6,D,多头,多头,空头,high,多头/多头，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
10,002371,北方华创,2026-09-18,686.51,3.157024793388419,59.6,D,震荡,多头,强势多头,high,震荡/多头，60分钟强势多头；目前只适合观察，等待结构改善。
11,600584,长电科技,2026-09-18,73.0,7.749077490774914,58.4,D,震荡,多头,强势多头,high,震荡/多头，60分钟强势多头；目前只适合观察，等待结构改善。
12,002179,中航光电,2026-09-18,35.52,2.1276595744680993,57.7,D,多头,空头,多头,high,多头/空头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
13,300054,鼎龙股份,2026-09-18,72.58,2.0098383696415922,57.7,D,震荡,偏空震荡,强势多头,high,震荡/偏空震荡，60分钟强势多头；目前只适合观察，等待结构改善。
14,600183,生益科技,2026-09-18,143.93,-1.4380606724645584,57.2,D,偏多震荡,多头,空头,high,偏多震荡/多头，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
15,000988,华工科技,2026-09-18,107.8,1.9096237474002686,56.2,D,震荡,偏空震荡,强势多头,high,震荡/偏空震荡，60分钟强势多头；目前只适合观察，等待结构改善。
16,002156,通富微电,2026-09-18,61.38,5.26496312810838,56.2,D,震荡,偏空震荡,强势多头,high,震荡/偏空震荡，60分钟强势多头；目前只适合观察，等待结构改善。
17,688396,华润微,2026-09-18,60.79,4.21738385050574,55.9,D,震荡,偏空震荡,强势多头,high,震荡/偏空震荡，60分钟强势多头；目前只适合观察，等待结构改善。
18,603986,兆易创新,2026-09-18,388.18,4.947550556937386,55.8,D,震荡,偏空震荡,多头,high,震荡/偏空震荡，60分钟多头；已进入条件化回踩观察区，仍需次日量价确认。
19,000338,潍柴动力,2026-09-18,27.23,2.1763602251407166,55.6,D,震荡,偏空震荡,强势多头,high,震荡/偏空震荡，60分钟强势多头；已进入条件化回踩观察区，仍需次日量价确认。
20,603019,中科曙光,2026-09-18,84.3,1.9593613933236442,54.5,D,震荡,空头,多头,high,震荡/空头，60分钟多头；已进入条件化回踩观察区，仍需次日量价确认。
21,600036,招商银行,2026-09-18,40.59,-0.024630541871917266,54.2,D,偏空震荡,强势多头,空头,high,偏空震荡/强势多头，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
22,600312,平高电气,2026-09-18,19.49,1.5633142261594513,54.2,D,偏空震荡,震荡,多头,high,偏空震荡/震荡，60分钟多头；已进入条件化回踩观察区，仍需次日量价确认。
23,601138,工业富联,2026-09-18,62.71,2.350252978619216,53.9,D,偏空震荡,偏空震荡,震荡,high,偏空震荡/偏空震荡，60分钟震荡；已进入条件化回踩观察区，仍需次日量价确认。
24,600900,长江电力,2026-09-18,28.27,-0.6676036542515806,53.8,D,偏空震荡,多头,空头,high,偏空震荡/多头，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
25,002938,鹏鼎控股,2026-09-18,89.88,-0.9150038584500031,53.2,D,空头,多头,震荡,high,空头/多头，60分钟震荡；已进入条件化回踩观察区，仍需次日量价确认。
26,002648,卫星化学,2026-09-18,26.61,1.0250569476081939,52.7,D,偏空震荡,强势多头,空头,high,偏空震荡/强势多头，60分钟空头；目前只适合观察，等待结构改善。
27,002484,江海股份,2026-09-18,61.48,2.364302364302362,52.5,D,震荡,偏空震荡,多头,high,震荡/偏空震荡，60分钟多头；目前只适合观察，等待结构改善。
28,000333,美的集团,2026-09-18,84.4,-0.7525870178739402,51.9,D,空头,强势多头,空头,high,空头/强势多头，60分钟空头；目前只适合观察，等待结构改善。
29,300442,润泽科技,2026-09-18,63.29,1.6870179948585973,51.8,D,震荡,强势空头,多头,high,震荡/强势空头，60分钟多头；已进入条件化回踩观察区，仍需次日量价确认。
30,300014,亿纬锂能,2026-09-18,51.56,6.904416338378616,51.5,D,震荡,空头,强势多头,high,震荡/空头，60分钟强势多头；目前只适合观察，等待结构改善。
