rank,code,name,data_date,close,pct_change,score,rating,daily_trend,weekly_trend,trend_60m,data_confidence,conclusion
1,603920,世运电路,2026-09-21,46.44,6.513761467889889,67.8,C,强势多头,震荡,强势多头,high,强势多头/震荡，60分钟强势多头；已达到放量突破条件，但不适合无条件追涨。
2,600036,招商银行,2026-09-21,41.04,1.1086474501108556,67.6,C,多头,强势多头,震荡,high,多头/强势多头，60分钟震荡；股票结构较强，目前优先等待回踩或突破确认。
3,002436,兴森科技,2026-09-21,44.33,3.3815298507462677,66.8,C,强势多头,多头,强势多头,high,强势多头/多头，60分钟强势多头；股票结构较强，目前优先等待回踩或突破确认。
4,603228,景旺电子,2026-09-21,110.16,5.46673049305888,66.4,C,多头,强势多头,强势多头,high,多头/强势多头，60分钟强势多头；股票结构较强，目前优先等待回踩或突破确认。
5,002185,华天科技,2026-09-21,18.55,2.8840820854131977,66.0,C,强势多头,偏多震荡,强势多头,high,强势多头/偏多震荡，60分钟强势多头；已达到放量突破条件，但不适合无条件追涨。
6,002916,深南电路,2026-09-21,395.02,2.736020806241868,64.0,C,多头,多头,多头,high,多头/多头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
7,600487,亨通光电,2026-09-21,71.75,3.252266513167368,63.5,C,多头,多头,强势多头,high,多头/多头，60分钟强势多头；股票结构较强，目前优先等待回踩或突破确认。
8,601138,工业富联,2026-09-21,63.6,1.41923138255462,61.8,C,震荡,多头,多头,high,震荡/多头，60分钟多头；已进入条件化回踩观察区，仍需次日量价确认。
9,002463,沪电股份,2026-09-21,126.0,2.0242914979757165,61.4,C,多头,多头,震荡,high,多头/多头，60分钟震荡；股票结构较强，目前优先等待回踩或突破确认。
10,002281,光迅科技,2026-09-21,193.76,-0.8393039918116796,61.1,C,多头,多头,强势多头,high,多头/多头，60分钟强势多头；股票结构较强，目前优先等待回踩或突破确认。
11,002371,北方华创,2026-09-21,676.61,-1.442076590290009,61.1,C,震荡,多头,强势多头,high,震荡/多头，60分钟强势多头；已进入条件化回踩观察区，仍需次日量价确认。
12,000988,华工科技,2026-09-21,109.51,1.5862708719851737,60.2,C,多头,偏空震荡,强势多头,high,多头/偏空震荡，60分钟强势多头；股票结构较强，目前优先等待回踩或突破确认。
13,600183,生益科技,2026-09-21,146.27,1.6257903147363306,58.9,D,多头,多头,空头,high,多头/多头，60分钟空头；已进入条件化回踩观察区，仍需次日量价确认。
14,002938,鹏鼎控股,2026-09-21,90.5,0.6898086337338682,58.9,D,震荡,多头,多头,high,震荡/多头，60分钟多头；已进入条件化回踩观察区，仍需次日量价确认。
15,002179,中航光电,2026-09-21,35.63,0.3096846846846857,57.3,D,多头,空头,多头,high,多头/空头，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
16,002648,卫星化学,2026-09-21,27.23,2.329951146185638,57.3,D,偏空震荡,强势多头,震荡,high,偏空震荡/强势多头，60分钟震荡；已进入条件化回踩观察区，仍需次日量价确认。
17,002008,大族激光,2026-09-21,96.55,-3.0622489959839294,57.3,D,多头,偏空震荡,多头,high,多头/偏空震荡，60分钟多头；股票结构较强，目前优先等待回踩或突破确认。
18,600938,中国海油,2026-09-21,33.54,3.83900928792571,57.0,D,偏空震荡,强势多头,震荡,high,偏空震荡/强势多头，60分钟震荡；已进入条件化回踩观察区，仍需次日量价确认。
19,002050,三花智控,2026-09-21,36.18,2.463891248937977,56.8,D,震荡,空头,强势多头,high,震荡/空头，60分钟强势多头；目前只适合观察，等待结构改善。
20,300054,鼎龙股份,2026-09-21,72.11,-0.6475613116560974,56.7,D,震荡,偏空震荡,强势多头,high,震荡/偏空震荡，60分钟强势多头；目前只适合观察，等待结构改善。
21,603986,兆易创新,2026-09-21,391.71,0.9093719408521661,56.3,D,震荡,偏空震荡,强势多头,high,震荡/偏空震荡，60分钟强势多头；目前只适合观察，等待结构改善。
22,002156,通富微电,2026-09-21,61.18,-0.325839035516462,56.2,D,震荡,偏空震荡,强势多头,high,震荡/偏空震荡，60分钟强势多头；目前只适合观察，等待结构改善。
23,000338,潍柴动力,2026-09-21,27.08,-0.5508630187293528,55.8,D,震荡,偏空震荡,强势多头,high,震荡/偏空震荡，60分钟强势多头；已进入条件化回踩观察区，仍需次日量价确认。
24,600584,长电科技,2026-09-21,72.22,-1.068493150684935,54.9,D,震荡,偏空震荡,强势多头,high,震荡/偏空震荡，60分钟强势多头；目前只适合观察，等待结构改善。
25,688396,华润微,2026-09-21,61.5,1.1679552557986472,54.9,D,震荡,偏空震荡,强势多头,high,震荡/偏空震荡，60分钟强势多头；目前只适合观察，等待结构改善。
26,600900,长江电力,2026-09-21,28.1,-0.6013441811107079,54.7,D,偏空震荡,多头,空头,high,偏空震荡/多头，60分钟空头；目前只适合观察，等待结构改善。
27,601689,拓普集团,2026-09-21,45.76,1.6888888888888953,54.4,D,震荡,强势空头,强势多头,high,震荡/强势空头，60分钟强势多头；已进入条件化回踩观察区，仍需次日量价确认。
